participant,question,explId,explIndex,text,acc,satis,satisfaction,accuracy,causation,functional,general,mechanism
PCfjzjwXzzgSmMwVG,1,15,15,"Thunder makes sounds because of friction in the upper atmosphere due to rapid pressure and air movement. Imagine a balloons built up pressure when you prick it with a needle, same concept for thunder.",4,6,4.777777777777778,4.777777777777778,5.090909090909091,2.9,5.375,5.444444444444445
eXugcWUYXBCcsjxLD,1,16,16,Because it is the sound of the lightening as it breaks the sound barrier.,4,3,2.888888888888889,3.888888888888889,4.545454545454546,2.7,5.875,4
RGZFCQqDiGnHwzNeU,1,17,17,"Because the static electricity in lightning pushes the air is displaces outward, creating a vacuum. When the air rushes back into the vacuum, the air molecules violently collide and collectively produce the loud thunder noise.",5,5,4.777777777777778,5.888888888888889,5.7272727272727275,3,5.5,6.222222222222222
btYwsoXTNajsgcdiI,1,18,18,"I believe thunder is caused by lightning affecting the air around it. The air expands quickly, either quick enough for a crack or a rumbling sound, because the lightning increases air pressure and temperature causing the sound of thunder.",4,4,4.666666666666667,5.222222222222222,5.090909090909091,3.1,3.75,6.333333333333333
SNuboHuZdgosBxwan,1,19,19,"Thunder is the noise reaction from lightening. Lightening breaks the sound barrier when striking, thus creating a boom.",6,6,2.888888888888889,5,5.2727272727272725,2.8,6.375,4.444444444444445
NzpFJrAgkiuVXrrzG,1,20,20,"The air is quickly compressed and expands in the area, causing a booming sound.",4,3,3.6666666666666665,5.333333333333333,4.545454545454546,2.4,5,5.444444444444445
LbndoeYlKUcPJBiiO,2,21,1,Because flies are attracted to dirty things.,6,4,4.6,3.3636363636363638,2.4545454545454546,0.7,3.5833333333333335,2.9166666666666665
OYnGamcvLdkrbNCpl,2,22,2,The scent.,1,2,4.4,5.181818181818182,3.727272727272727,0.7,4.666666666666667,2.6666666666666665
DJUgSmvbEzBEYDwyy,2,23,3,They are attracted to strong smells.,4,3,5.6,4.636363636363637,4.363636363636363,1.5,5,4.166666666666667
tayeEnzSbzOZbRISq,2,24,4,Because they eat poop.,6,2,4.3,5,3.5454545454545454,2.1,4.583333333333333,3.5833333333333335
jCOiImiBmtLwLopui,2,25,5,It smells bad and strongly.,5,5,3.2,4.090909090909091,1.9090909090909092,0.3,4.5,2.9166666666666665
dzPhiPsNyrqACtKeh,2,26,6,"Because it has a strong odor of decomposition, which they are able to easily consume.",6,6,5.5,5.181818181818182,4.2727272727272725,2.5,5.083333333333333,4.083333333333333
uljTgaXkRxHHEmojx,2,27,7,The smell attracts them.,5,4,4.8,5.636363636363637,3.727272727272727,1.2,5,4.083333333333333
JREQXLaKksGWMSqXb,2,28,8,Because it smells strongly enough that they can find it.,4,2,5.4,4.7272727272727275,3.090909090909091,0.9,4.666666666666667,4
LYYiFPceCNWbGDeQG,2,29,9,The nutrients in poop help to keep them alive when they eat it.,3,4,5.6,5.090909090909091,3.6363636363636362,5.1,4.916666666666667,4.75
QAkjQJxLPvRlaPEao,2,30,10,Because it is full of bacteria and things that flies can eat and gain nourishment from.,4,4,6.1,5.363636363636363,4.090909090909091,4,5.083333333333333,4.916666666666667
oxajVZqcisjaNgiPi,2,31,11,Poop contains spare nutrients and vitamins. Flies are drawn to this.,6,6,5.9,4.909090909090909,3.5454545454545454,3.3,5,4.75
ZdnGdYMAgxTnCHxTp,2,32,12,A place to lay their eggs that provides nutrition.,5,5,4.8,5.363636363636363,4.090909090909091,4.4,5.083333333333333,5
ElhXNkZeXOVggOXNN,2,33,13,Flies are drawn to feces because it's fertile ground for them to lay eggs.,4,4,5.4,5.818181818181818,4.2727272727272725,4.9,4.666666666666667,5.416666666666667
DTtUKJRMBHaUYxEDV,2,34,14,It has nutrients and smells that they are drawn to.,1,4,5.5,5.818181818181818,4.181818181818182,2,5.25,4.25
PCfjzjwXzzgSmMwVG,2,35,15,Flies are scavengers by nature. As such they will search through waste to find things they can devour. What is waste for one species can be great nutrients for another.,3,3,6.1,5.181818181818182,3.8181818181818183,4.1,5.833333333333333,4.833333333333333
eXugcWUYXBCcsjxLD,2,36,16,"Because its what they eat, they just naturally are drawn to it. It's a good way of nature disposing of a natural product.",5,4,5.3,4.636363636363637,3.090909090909091,3.1,5,4.083333333333333
RGZFCQqDiGnHwzNeU,2,37,17,"Poop contains leftover nutrients that our bodies did not use. Flies eat these nutrients to survive. They are not fierce hunters, or clever trappers, so they rely on eating whatever is laying around, and poop fits in that category.",5,5,5.7,4.7272727272727275,3.5454545454545454,5,5.583333333333333,5.416666666666667
btYwsoXTNajsgcdiI,2,38,18,Flies like poop because there are nutrients they can attain from it and continue to survive.,3,2,5.9,5,3.8181818181818183,4.4,5.333333333333333,4.833333333333333
SNuboHuZdgosBxwan,2,39,19,Flies poop because they consume food and must process it into waste.,6,6,3.8,3.272727272727273,2.3636363636363638,1.4,4.916666666666667,3.3333333333333335
NzpFJrAgkiuVXrrzG,2,40,20,Flies look for an energy-rich substrate to lay their eggs in so that the larvae will be able to feed right after they hatch.  Feces has a strong odor and is a good energy source.,6,5,5.8,5.545454545454546,4.7272727272727275,4.9,5.166666666666667,6
LbndoeYlKUcPJBiiO,3,41,1,Because people come from different areas and have different ancestors.,6,4,4.6,5.583333333333333,4.636363636363637,1.9,4.9,3.4
OYnGamcvLdkrbNCpl,3,42,2,To protect people.,1,3,2.4,2.75,0.9090909090909091,1.9,3.3,3.2
DJUgSmvbEzBEYDwyy,3,43,3,We were all separated from one another at some point.,5,2,4.1,4.583333333333333,4.363636363636363,3,4.4,3.2
tayeEnzSbzOZbRISq,3,44,4,Because there are so many different cultures and races.,5,2,5.1,5.833333333333333,4.636363636363637,2.2,5,2.1
jCOiImiBmtLwLopui,3,45,5,We are all from different places.,2,3,4.4,5.5,4.2727272727272725,2.5,4.6,2
dzPhiPsNyrqACtKeh,3,46,6,"Because people used to be isolated, and developed personal forms of communication.",6,6,5.7,5.416666666666667,5.181818181818182,3.1,4.2,5.4
uljTgaXkRxHHEmojx,3,47,7,"There are many different cultures that rose over a long period of time, and those cultures used specific languages.",4,3,5.1,5.666666666666667,4.909090909090909,3.2,5.7,4
JREQXLaKksGWMSqXb,3,48,8,Because everyone has a different culture.,3,1,4.3,5.166666666666667,5,2.7,5.1,2.6
LYYiFPceCNWbGDeQG,3,49,9,"Before the efficient transportation of today, countries were very separated and almost inaccessible to foreigners. Numerous languages were created because they were languages of a specific area.",4,4,5.4,5.833333333333333,4.363636363636363,2.5,5.1,5.7
QAkjQJxLPvRlaPEao,3,50,10,"Because language develops among people-groups as they evolve, and each group creates its own language, so they are all different.",5,5,5.4,5.75,4.818181818181818,3.6,4.7,4.1
oxajVZqcisjaNgiPi,3,51,11,"Humans are very social beings and when isolated will find ways to communicate, thus they generate sounds with their mouth to create languages. It is not surprising that the sounds of the languages vary, since humans can generate a large range of sounds using their mouths.",6,6,4.8,5.583333333333333,4.636363636363637,4.1,5.1,6.1
ZdnGdYMAgxTnCHxTp,3,52,12,People started speaking independently of other groups.,1,1,4.1,4.833333333333333,4.636363636363637,2.7,4.7,5.1
ElhXNkZeXOVggOXNN,3,53,13,"There are many languages in the world because communication methods evolved in many different places and methods, and then intermingled.",5,4,4.9,5.75,5.636363636363637,3.8,4.9,4.9
DTtUKJRMBHaUYxEDV,3,54,14,Depending on where a person comes from things should be said different so the people from that culture understand.,1,1,3.8,4.25,2.1818181818181817,2.3,4.6,3
PCfjzjwXzzgSmMwVG,3,55,15,"Humans have been striving to find better ways to communicate for thousands of years. First it was just basic grunts, but eventually as humans progressed and learned, they invented languages. Depending on the culture, language can look very different. You can think of language as a way for people to interpret the basic grunts of our ancestors.",5,6,4.4,4.75,3.8181818181818183,3.7,5.4,5.5
eXugcWUYXBCcsjxLD,3,56,16,Because there are lots of cultures. The languages developed before there was much travel and so each culture developed its own.,6,6,4.3,5.416666666666667,5.363636363636363,2.3,4.8,5.4
RGZFCQqDiGnHwzNeU,3,57,17,Different peoples developed in relative social vacuums and developed languages local to their area.,5,5,4.8,6,4.909090909090909,3.5,4.9,5.5
btYwsoXTNajsgcdiI,3,58,18,"Because before the invention of the Internet people evolved in isolated parts of the world and were unable to communicate over vast distances, local languages were invented to communicate with groups that lived closest.",4,2,4.8,4.916666666666667,4.7272727272727275,2.6,4.8,5.6
SNuboHuZdgosBxwan,3,59,19,"There are many languages in the world because different groups in the world created civilizations in different areas of the world, not connected to others. Thus, they created their own type of communication.",5,5,5.2,5.333333333333333,5,2.9,5.2,5
NzpFJrAgkiuVXrrzG,3,60,20,"Groups of people were geographically separated from each other through much of history.  Since people will universally develop sounds to communicate, but the sounds differ based on random factors, this gave rise to different languages.",5,5,5,5.666666666666667,5.090909090909091,3.6,5.3,5.8
LbndoeYlKUcPJBiiO,4,61,1,Because it is caused by the winds.,3,3,4.6,4.4,4.8,2.5,4.545454545454546,4.2
OYnGamcvLdkrbNCpl,4,62,2,Because of gravity.,1,2,3.6,4.6,4.5,1.4,4.363636363636363,3.6
DJUgSmvbEzBEYDwyy,4,63,3,Wind.,5,1,4.5,4.3,4.2,0.6,5,3.6
tayeEnzSbzOZbRISq,4,64,4,Because the earth turns and the gravitational pull of the moon.,5,2,4.7,5.7,4.5,2.7,5.181818181818182,4.4
jCOiImiBmtLwLopui,4,65,5,The wind moves the water and creates motion.,5,4,5.3,4.3,5.1,3.1,5.090909090909091,5.8
dzPhiPsNyrqACtKeh,4,66,6,Because the moon's gravitational pull draws the water up.,6,6,4.7,5.2,5,3.4,4.7272727272727275,4.8
uljTgaXkRxHHEmojx,4,67,7,The moon controls the earth's gravitational pull which in turn causes waves.,5,5,4.8,4.6,4.5,2.6,5.181818181818182,5.2
JREQXLaKksGWMSqXb,4,68,8,Because of wind.,6,5,4.4,4.3,5.2,1.1,4.545454545454546,2.8
LYYiFPceCNWbGDeQG,4,69,9,The moon creates the gravity which pushes and pulls the ocean to create waves.,3,4,4.9,5,4.7,3.2,5.545454545454546,4.6
QAkjQJxLPvRlaPEao,4,70,10,There are waves in the ocean because the gravitational pull of the moon causes them.  Currents under the water also help cause waves.,5,5,5.5,5.9,5.1,3.2,5.909090909090909,4.4
oxajVZqcisjaNgiPi,4,71,11,"The earth spins, this causes gravity. Gravity's influence upon the moving earth equals tides and currents. The ocean is simply stirred by Earth's spin.",6,6,4.5,3.7,4.5,2.9,4.363636363636363,4.2
ZdnGdYMAgxTnCHxTp,4,72,12,Wind pushes the water causing waves.,6,6,4.7,4.1,5.4,3.4,5.090909090909091,6.2
ElhXNkZeXOVggOXNN,4,73,13,The moon's gravity causes waves.,4,4,4.1,4.9,4.5,2.4,4.545454545454546,5.2
DTtUKJRMBHaUYxEDV,4,74,14,They are from the wind and the different animal movements in the ocean.  They can also be from earthquakes.,5,5,3.3,3.6,4,2,3.727272727272727,5
PCfjzjwXzzgSmMwVG,4,75,15,Waves are the result of the gravitational pull of the moon. The moon pulls the water but because the earth's gravitational pull is closer to the water it pulls the water right back to the ocean. Thus creating the up and down motion you see in the waves.,2,5,5.8,5.5,4.8,3.5,5.545454545454546,4.6
eXugcWUYXBCcsjxLD,4,76,16,Because the momentum of the tides are controlled by the moon.,5,2,4.1,5,4.1,2.2,4.818181818181818,4
RGZFCQqDiGnHwzNeU,4,77,17,Wind rushing over the surface of the sea causes the waves. The air particles in the wind contact the water particles on the ocean surface and gently push the water along.,4,5,5,4.1,4.9,3.8,4.545454545454546,5.2
btYwsoXTNajsgcdiI,4,78,18,Waves are caused by wind. The energy of the wind gets converted on the surface of the water to waves.,4,4,5.5,4,4.8,2.7,4.7272727272727275,5.4
SNuboHuZdgosBxwan,4,79,19,Waves in the ocean are created from the tide being pulled by the moon's gravitational pull on the earth.,6,6,4.7,4.9,4.5,3.5,5.2727272727272725,5
NzpFJrAgkiuVXrrzG,4,80,20,"The winds displace small amounts of water as they travel across the ocean.  As some water is moved, the water behind it moves to replace it, creating a wave effect.",5,3,5.5,4.4,4.5,3.7,4.909090909090909,5.2
LbndoeYlKUcPJBiiO,5,81,1,We need sleep so we would be revitalized and energized.,6,6,4.818181818181818,6.444444444444445,2.5454545454545454,4.9,5.666666666666667,4.538461538461538
OYnGamcvLdkrbNCpl,5,82,2,To survive.,5,6,3.6363636363636362,5.888888888888889,0.6363636363636365,3.2,5.888888888888889,3.1538461538461537
DJUgSmvbEzBEYDwyy,5,83,3,We are animals.,5,3,2.6363636363636362,4.555555555555555,1.6363636363636362,0,4.777777777777778,2
tayeEnzSbzOZbRISq,5,84,4,To dream and recharge our bodies.,6,2,4.818181818181818,5.777777777777778,1.9090909090909092,4.3,5.222222222222222,3.0833333333333335
jCOiImiBmtLwLopui,5,85,5,To get rest for the next day.,5,2,5.090909090909091,6,1.3636363636363638,3,5.111111111111111,3.5384615384615383
dzPhiPsNyrqACtKeh,5,86,6,Because our cells need a period of regeneration where we are not using much energy.,5,6,4.818181818181818,6.333333333333333,3.909090909090909,4.3,5.333333333333333,5.076923076923077
uljTgaXkRxHHEmojx,5,87,7,The human body needs to rest and recuperate after a day's work.,5,5,4.818181818181818,5.666666666666667,4,3.8,6.333333333333333,4.846153846153846
JREQXLaKksGWMSqXb,5,88,8,It helps strengthen your mind and body and repair any damage.,6,5,5.090909090909091,6.111111111111111,2.4545454545454546,4.5,5.222222222222222,4.6923076923076925
LYYiFPceCNWbGDeQG,5,89,9,We need sleep in order to recharge our brains so we can be as efficient as possible.,2,4,4.909090909090909,6.111111111111111,2.1818181818181817,5,5.222222222222222,5.153846153846154
QAkjQJxLPvRlaPEao,5,90,10,We need sleep to regenerate our bodies and refresh ourselves.  Or brains need rest from stimulation.,6,5,5.2727272727272725,6.222222222222222,4.090909090909091,4.8,5.333333333333333,5.3076923076923075
oxajVZqcisjaNgiPi,5,91,11,The body and mind needs to time to recoup and rest. Without sleep the body and mind don't regenerate energy necessary for the following day's activities.,6,6,5.090909090909091,5.888888888888889,3.7272727272727275,4.2,5.666666666666667,5.3076923076923075
ZdnGdYMAgxTnCHxTp,5,92,12,Gives the brain a chance to process the information it received while awake.,6,6,4.545454545454546,5.444444444444445,2.6363636363636362,4.5,4.666666666666667,4.461538461538462
ElhXNkZeXOVggOXNN,5,93,13,Humans need sleep because the brain needs time to rest and sort memories.,6,4,4.636363636363637,5.333333333333333,3.1818181818181817,4.4,5.777777777777778,4.5
DTtUKJRMBHaUYxEDV,5,94,14,So that our body has a chance to rest and also our body system.,4,5,3.909090909090909,5.222222222222222,3.5454545454545454,5,5.888888888888889,4.846153846153846
PCfjzjwXzzgSmMwVG,5,95,15,"We need sleep because our brain requires rest. This is similar to how your muscle needs to rest after working out. Our brain rests by sleeping, our muscles rest by doing nothing.",6,5,5.363636363636363,5.777777777777778,3.909090909090909,3.8,5,5.769230769230769
eXugcWUYXBCcsjxLD,5,96,16,Because it's a chance for our body and mind to rest. It's very important for our bodies and minds to refuel during this period.,6,6,4.7272727272727275,5.777777777777778,3.272727272727273,4.3,5.888888888888889,5.3076923076923075
RGZFCQqDiGnHwzNeU,5,97,17,"Sleep recharges our minds as well as our bodies. Our bodies need rest to refresh the muscles and other parts that make up our physical selves. The mind also need to relax, and so there is sleep.",5,4,5,6.222222222222222,3.4545454545454546,4.7,6.111111111111111,5.769230769230769
btYwsoXTNajsgcdiI,5,98,18,So that our brains may process what has and what might happen to us so that we can adapt and react. It also gives our bodies a chance to rest and restore our energy.,3,4,5.181818181818182,5.777777777777778,2.3636363636363638,5.2,5.444444444444445,5.846153846153846
SNuboHuZdgosBxwan,5,99,19,"Food only gives humans energy, however humans need to rest their bodies in order to continue to stay active.",4,4,3.4545454545454546,5.555555555555555,3.272727272727273,2.5,5.444444444444445,4.916666666666667
NzpFJrAgkiuVXrrzG,5,100,20,"We need sleep to give our brains a chance to rest.  The brain, just like the muscles, needs a period of inactivity to conduct repair and strengthen connections.",5,4,5.181818181818182,5.666666666666667,3.1818181818181817,3.7,6.111111111111111,6
IiqLepluvINpvJrDa,6,101,1,"Because trees get less water from the ground to feed them, and they begin to die.",2,6,3.2222222222222223,3.888888888888889,4,2.6999999999999997,2.9166666666666665,4.384615384615385
RAJOcIoUXzTRWibOW,6,102,2,They get less nutrients due to the changing weather which changes the pigmentation.,6,7,4.222222222222222,4.888888888888889,4.090909090909091,2.7,5.083333333333333,5.3076923076923075
kSNYDEIzDDFtRWejo,6,103,3,They receive less sunlight and so they die from lack of sun.,3,5,3.888888888888889,3.5555555555555554,4.7272727272727275,3.1,3.1666666666666665,4.846153846153846
ucaoUjLBGOErUYSMj,6,104,4,The cells in the leaves die.,3,6,3.5555555555555554,5,4.181818181818182,2.2,4.25,4.538461538461538
NdZjTpkvAtjcZHcdC,6,105,5,"They change color because they die. Other than that, I don't know.",2,2,3.111111111111111,3.7777777777777777,3.4545454545454546,1.3,4.166666666666667,3
AccjEvteyqLbTUaNl,6,106,6,"Leaves change colors due to the trees needing to go into a kind of hibernation, for the winter. By letting go of their leaves, they are able to sustain themselves through the winter.",6,5,5.666666666666667,4.444444444444445,3.090909090909091,3.4,4.75,4.923076923076923
KbZVOcGAqeIjuxIcN,6,107,7,"They lose the stuff, chlorophyl because the trees quit producing it because of lack of sunlight and all that is left is their color without it.",6,6,4.111111111111111,4.555555555555555,5.090909090909091,2.4,3.6666666666666665,5.538461538461538
UeqHTuqstdbnGNeIf,6,108,8,The change in the weather causes it to lose its green color and eventually they die,5,5,3,3,4.7272727272727275,2.6,4.583333333333333,4.769230769230769
BSlUjkKpjkXdOgvHE,6,109,9,They're dying because of the cold.,7,7,3.2222222222222223,3.111111111111111,3.8181818181818183,2.3,4.25,3.076923076923077
nNzuKHobtQRhTvQbM,6,110,10,They change color in the fall because the cold air kills the healthy cells in the leaves and causes them to die.,6,2,4,4,4,2.1,4.25,5.461538461538462
asAIRemxxdtCmHtNq,6,111,11,A chemical change occurs.,5,5,3.5555555555555554,5.333333333333333,4.2727272727272725,3.2,5.083333333333333,3.846153846153846
FwTfUPtzGzTyELhIL,6,112,12,The leaves stop producing chlorophyl as the weather gets colder and as a result they change colors as they die.,7,6,5.444444444444445,5.222222222222222,5.363636363636363,4.2,5.416666666666667,5.538461538461538
XyJcxVgJzfvCzmxDD,6,113,13,They're dying.,6,6,2.111111111111111,3.888888888888889,3.7272727272727275,2.5,4.333333333333333,3.1538461538461537
iYYyHDYkltxUpChoo,6,114,14,There are certain chemicals in leaves that are available in differing amounts at different times of the year. These chemicals give leaves their color.,1,3,4.888888888888889,4.444444444444445,3.5454545454545454,2.9,4.25,4.846153846153846
NWuylDIjHwpceUwgV,6,115,15,Because the weather temperature begins to get colder.,2,5,3.3333333333333335,3.6666666666666665,3.8181818181818183,2.1,5,4.538461538461538
UxWIDrSohHFXriLvh,6,116,16,They change color as the leaves die and the tree becomes dormant.,2,3,4.444444444444445,4.777777777777778,3.1818181818181817,2.2,5,4.076923076923077
lzeIXwlMBNgwuhhwg,6,117,17,Because the chlorophyll in them produces a chemical reaction that changes their color during that season.,1,5,4.777777777777778,5.222222222222222,4.545454545454546,3.8,4.916666666666667,5.769230769230769
EmbXrzocAhWAVicqC,6,118,18,They change because the chlorophyll breaks down after the growing season.,5,6,5.111111111111111,5,4.636363636363637,2.4,5.166666666666667,5.461538461538462
GwvFGHYeCoGKCVhrh,6,119,19,They are near the end of their life cycle.,4,2,3.7777777777777777,3.5555555555555554,2.909090909090909,1.1999999999999997,4.75,3.3076923076923075
CgcNAxwnNRWfvXsjx,6,120,20,Leaves change color since the chlorophyl breaks down.,6,5,4.333333333333333,5,4.636363636363637,3.4,5.666666666666667,5.923076923076923
IiqLepluvINpvJrDa,7,121,1,In order to allow our brain to have something to do while we are unconscious.,2,5,3.3,3.4,3,5.8,4.454545454545454,3.8
RAJOcIoUXzTRWibOW,7,122,2,Our brain is actively storing and categorizing memories at night when we enter REM sleep. This can sometimes result in dreams.,6,7,5.7,4.8,5.3,3.4,5.636363636363637,4.8
kSNYDEIzDDFtRWejo,7,123,3,"Our minds are always thinking when we are awake but we are looking and doing things.  With those things, our brain comes up with a bunch of stuff.",4,4,3.4,4.9,2.8,1.7,4.2727272727272725,4.1
ucaoUjLBGOErUYSMj,7,124,4,The brain continues to function even while we sleep.,6,6,4.3,6.3,3.8,3.7,6.363636363636363,5.8
NdZjTpkvAtjcZHcdC,7,125,5,"We dream to consolidate/solidify memories, emotions, etc.",6,5,5.1,4.9,3.8,5.2,5.454545454545454,5.2
AccjEvteyqLbTUaNl,7,126,6,"Our brains are always active, thus when we're asleep, our brain decides to make dreams.",6,5,3.7,4.6,3.2,2.8,5.454545454545454,4.9
KbZVOcGAqeIjuxIcN,7,127,7,To sort out what happened during the day.  Sometimes we have dreams from God that give us insights into what happened or what is coming.,6,4,2.9,3.7,2.7,3,2.8181818181818183,3.6
UeqHTuqstdbnGNeIf,7,128,8,I believe we dream because it is our thoughts or emotions that come to life when we sleep.,5,5,4,4.8,3.4,2.8,4.909090909090909,4.7
BSlUjkKpjkXdOgvHE,7,129,9,To reorganize our thoughts,4,5,4.4,4,2,4.4,4.818181818181818,4.6
nNzuKHobtQRhTvQbM,7,130,10,We dream because our mind is constantly working and while we sleep those things we are thinking of before we went to bed keep circulating in our mind and we come up with scenarios and we see them.,6,5,4.3,5.1,5.1,3.8,5.090909090909091,5.2
asAIRemxxdtCmHtNq,7,131,11,Because our brain is still functioning while our body rests.,5,5,4.2,5.7,4.4,2.4,6.636363636363637,4.8
FwTfUPtzGzTyELhIL,7,132,12,"Scientists still haven't fully figured out why we dream, but a prevailing thought is that it allows our brains to process information and experiences while at rest.",5,4,5.4,5.2,4,4.4,5,5.1
XyJcxVgJzfvCzmxDD,7,133,13,It's fun.,5,5,1.9,3.2,0.7,2,2.8181818181818183,2.7
iYYyHDYkltxUpChoo,7,134,14,"Our minds remain active during the night, but without new input, they're forced to keep going through old memories in various ways.",1,3,4,4.3,3.4,2.9,4.636363636363637,4.5
NWuylDIjHwpceUwgV,7,135,15,We dream because our minds are thinking when we are asleep.,2,5,3.6,5.1,4.3,3.3,5.909090909090909,4.8
UxWIDrSohHFXriLvh,7,136,16,We dream due to our brains needing some level of activity at all times.,1,3,3.6,4.4,3.3,5.2,5,4.8
lzeIXwlMBNgwuhhwg,7,137,17,In order to work out psychological tensions built up during waking life.,1,5,4.3,4.1,3.7,5.2,4.909090909090909,4.4
EmbXrzocAhWAVicqC,7,138,18,We may dream because our mind is looking for something to work on while there isn't enough outside stimulus to keep it busy.,2,3,4.3,4.1,3.8,4.4,4,4.3
GwvFGHYeCoGKCVhrh,7,139,19,The mind still works even though we sleep.,5,2,3.9,5.6,4.1,3.9,6.2727272727272725,5
CgcNAxwnNRWfvXsjx,7,140,20,We dream when we are in a sleep stage during rapid eye movement and it is part of everyday normal life.,5,4,3.1,4.7,3,1.7,6.090909090909091,3.8
IiqLepluvINpvJrDa,8,141,1,Because our hips are narrower than other animals.,2,4,5,4.3,4.1,4.5,3.9166666666666665,3.875
RAJOcIoUXzTRWibOW,8,142,2,Probably because we produce less offspring because we live longer.,3,1,3.7,3.9,1.5,1.6,3.5833333333333335,2.875
kSNYDEIzDDFtRWejo,8,143,3,We just show pain more than other animals.  Animals do stuff like fighting with other and they don't ever look like they are in pain.,2,2,3.9,4.4,1.1,1.5,3.9166666666666665,3.625
ucaoUjLBGOErUYSMj,8,144,4,Human bodies are more complex than animal forms.,5,6,4.2,4,3.8,2.9,4.666666666666667,3.125
NdZjTpkvAtjcZHcdC,8,145,5,Because the birth mechanisms are not large enough.,5,3,4,3.7,4.4,2.7,4.083333333333333,3.75
AccjEvteyqLbTUaNl,8,146,6,Humans are not quite evolved enough to make birthing easy.,5,3,2.3,3.3,3.4,2.2,3,2.875
KbZVOcGAqeIjuxIcN,8,147,7,"Because of sin, God said in the bible he would make childbirth more difficult for us.",7,3,2.2,2.6,3.7,1.6,2.8333333333333335,3.375
UeqHTuqstdbnGNeIf,8,148,8,An animal was never able to express it feelings on childbirth.,5,4,3.2,4.8,1.1999999999999997,0.6,4.416666666666667,3.125
BSlUjkKpjkXdOgvHE,8,149,9,Big fat babies.,4,4,1.5,4.2,3.2,1.6,2.9166666666666665,1.875
nNzuKHobtQRhTvQbM,8,150,10,It's more difficult because we have evolved in a way that is different from most animals. Instead of the baby needing to come out fighting like most animals to survive. We have the ability to give birth to our young and them protect them a lot easier than most animals in the wild.,4,3,4.8,4.1,3.2,3.3,5,4.625
asAIRemxxdtCmHtNq,8,151,11,Because our instincts are different.,4,2,3.1,3,2.9,1.5,4.083333333333333,2
FwTfUPtzGzTyELhIL,8,152,12,"Humans have the largest heads in proportion to their bodies than any other mammal, making child birth somewhat more difficult.",7,7,4.9,3.8,5.3,5,5.083333333333333,5.5
XyJcxVgJzfvCzmxDD,8,153,13,Because vaginas too small.,6,6,2.7,4,3.3,3.5,3.5,3.625
iYYyHDYkltxUpChoo,8,154,14,"Humans have used technological advancements throughout the years to assist in the birthing process, while other animals would have the baby and mothers die during difficult births. Due to this, we have partially skipped the portion of the evolutionary process that would get rid of difficult births.",3,6,3.7,4.7,3.6,3.6,4.666666666666667,4.875
NWuylDIjHwpceUwgV,8,155,15,The baby is big compared to the mother.,2,1,4.3,3.3,4,3.9,3.4166666666666665,3.125
UxWIDrSohHFXriLvh,8,156,16,Many animals have difficult births.,1,1,4.4,5.4,1.4,1.1,4.5,3
lzeIXwlMBNgwuhhwg,8,157,17,Because human babies are relatively large compared to human adults.,1,6,4.5,3.7,4.1,3.7,3.1666666666666665,3.625
